"group_name","mse","mae","r2_score"
"four_groups_1_CV1_concat",5.8582742099346685,1.4128920123246433,0.40895341776923266
"four_groups_1_CV1_sum",4.709754886450756,1.362788462016421,0.5248285708339318
"four_groups_2_CV1_concat",6.828540960218753,1.5009286887324444,0.4017182303371035
"four_groups_2_CV1_sum",7.242268735530463,1.5804160929105533,0.3654695225949661
"four_groups_3_CV1_concat",9.969281928686605,1.3643470299131255,0.3114734088189496
"four_groups_3_CV1_sum",9.476431892011773,1.3255553901416142,0.34551200439108665
"four_groups_4_CV1_concat",9.88176728148899,1.3675985674994577,0.3191894970190513
"four_groups_4_CV1_sum",12.793970320626467,1.5213852780367503,0.11855145734654804
"four_groups_5_CV1_concat",4.18440639450106,1.429349735174382,0.5676735254018678
"four_groups_5_CV1_sum",4.326579953066903,1.4281109487018004,0.5529843705825326
